课程序号,课程代码,课程名称,课程类别,学历层次,学生类别,教学班名称,排课信息,教师工号,授课教师,教师所属部门,星期几,第几节,多少周,地点,授课语言,人数上限,实际人数,起始周,结束周,周数,周课时,总课时,学分,备注
0501,100625,中国经济分析,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,40,0,1,16,16,2,32,2,
0513,100625,中国经济分析,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,20,0,1,16,16,2,32,2,
0532,100625,中国经济分析,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,20,0,1,16,16,2,32,2,
0542,100625,中国经济分析,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,24,0,1,16,16,2,32,2,
0561,100625,中国经济分析,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,39,0,1,16,16,2,32,2,
1119,100625,中国经济分析,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,27,0,1,16,16,2,32,2,
1322,100625,中国经济分析,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,37,0,1,16,16,2,32,2,
0504,100083,中国经济思想史,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,4,0,1,16,16,2,32,2,
0516,100083,中国经济思想史,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,3,0,1,16,16,2,32,2,
0538,100083,中国经济思想史,必修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,20,0,1,16,16,2,32,2,
0546,100083,中国经济思想史,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,1,0,1,16,16,2,32,2,
0555,100083,中国经济思想史,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,6,0,1,16,16,2,32,2,
1118,100083,中国经济思想史,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,0,0,1,16,16,2,32,2,
1319,100083,中国经济思想史,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,19,0,1,16,16,2,32,2,
1350,101562,中级宏观经济学,选修课,大学本科,本科生 ,22财经数学实验班,,,,,,,,,,25,0,1,16,16,3,48,3,
1578,101562,中级宏观经济学,必修课,大学本科,本科生 ,23财务管理1班,,,,,,,,,,48,0,1,16,16,3,48,3,
